Run Date,Account,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
01/05/2024,Z12345678,YOU BOUGHT,TSLA240119C00250000,TESLA INC 01/19/2024 250.00 C,Options,10,3.45,0.65,0.10,,"-3,460.75",01/08/2024
01/12/2024,Z12345678,YOU BOUGHT,TSLA240119C00250000,TESLA INC 01/19/2024 250.00 C,Options,5,2.10,0.33,0.05,,"-1,053.38",01/15/2024
01/15/2024,Z12345678,YOU BOUGHT,TSLA240119C00250000,TESLA INC 01/19/2024 250.00 C,Options,5,1.35,0.33,0.05,,"-678.38",01/18/2024
01/19/2024,Z12345678,EXPIRED,TSLA240119C00250000,TESLA INC 01/19/2024 250.00 C,Options,-20,0.00,0.00,0.00,,0.00,01/22/2024
02/01/2024,Z12345678,YOU BOUGHT,NVDA240216C00550000,NVIDIA CORP 02/16/2024 550.00 C,Options,5,8.20,0.33,0.05,,"-4,126.38",02/02/2024
02/07/2024,Z12345678,YOU BOUGHT,NVDA240216C00550000,NVIDIA CORP 02/16/2024 550.00 C,Options,5,5.40,0.33,0.05,,"-2,718.38",02/08/2024
02/14/2024,Z12345678,YOU SOLD,NVDA240216C00550000,NVIDIA CORP 02/16/2024 550.00 C,Options,-10,2.15,0.65,0.10,,"2,139.25",02/15/2024
02/20/2024,Z12345678,YOU BOUGHT,NVDA240315C00600000,NVIDIA CORP 03/15/2024 600.00 C,Options,8,6.50,0.52,0.08,,"-5,204.60",02/21/2024
02/27/2024,Z12345678,YOU BOUGHT,NVDA240315C00600000,NVIDIA CORP 03/15/2024 600.00 C,Options,4,4.20,0.26,0.04,,"-1,682.30",02/28/2024
03/05/2024,Z12345678,YOU SOLD OPENING,NVDA240315C00650000,NVIDIA CORP 03/15/2024 650.00 C,Options,-8,3.10,0.52,0.08,,"2,467.40",03/06/2024
03/05/2024,Z12345678,YOU BOUGHT CLOSING,NVDA240315C00600000,NVIDIA CORP 03/15/2024 600.00 C,Options,8,1.80,0.52,0.08,,"-1,444.60",03/06/2024
03/15/2024,Z12345678,EXPIRED,NVDA240315C00650000,NVIDIA CORP 03/15/2024 650.00 C,Options,8,0.00,0.00,0.00,,0.00,03/18/2024
03/18/2024,Z12345678,YOU BOUGHT,AAPL240419P00170000,APPLE INC 04/19/2024 170.00 P,Options,10,2.85,0.65,0.10,,"-2,860.75",03/19/2024
03/25/2024,Z12345678,YOU BOUGHT,AAPL240419P00170000,APPLE INC 04/19/2024 170.00 P,Options,10,1.90,0.65,0.10,,"-1,910.75",03/26/2024
04/01/2024,Z12345678,YOU BOUGHT,AAPL240419P00170000,APPLE INC 04/19/2024 170.00 P,Options,10,1.10,0.65,0.10,,"-1,110.75",04/02/2024
04/10/2024,Z12345678,YOU BOUGHT,AAPL240419P00170000,APPLE INC 04/19/2024 170.00 P,Options,5,0.55,0.33,0.05,,"-558.38",04/11/2024
04/18/2024,Z12345678,YOU SOLD,AAPL240419P00170000,APPLE INC 04/19/2024 170.00 P,Options,-35,0.10,2.28,0.35,,"316.37",04/19/2024
